代號,名稱,年月日,開盤價(元),最高價(元),最低價(元),收盤價(元),成交量(千股),成交值(千元),報酬率％,週轉率％,流通在外股數(千股),市值(百萬元),最後揭示買價,最後揭示賣價,報酬率-Ln,市值比重％,成交值比重％,成交筆數(筆),本益比-TSE,本益比-TEJ,股價淨值比-TSE,股價淨值比-TEJ,漲跌停,股價營收比-TEJ,股利殖利率-TSE,現金股利率,股價漲跌(元),高低價差%,次日開盤參考價,次日漲停價,次日跌停價,注意股票(A),處置股票(D),全額交割(Y),市場別
Y9999,加權指數,2022/12/30,14183.52,14248.9,14137.69,14137.69,"3,496,035","137,452,072",0.3739,0.236,"747,590,954","44,062,594",,,0.3732,100,100,"1,163,957",,10.667,,1.8136,,1.0729,,4.8391,52.67,0.7896,,,,,,,TSE
Y9999,加權指數,2022/12/29,14097.51,14120.57,13981.63,14085.02,"4,180,927","144,398,149",-0.6215,0.2481,"747,545,852","43,894,924",,,-0.6234,100,100,"1,358,630",,10.6258,,1.8066,,1.0687,,4.8576,-88.08,0.9803,,,,,,,TSE
Y9999,加權指數,2022/12/28,14249.83,14249.83,14119.3,14173.1,"4,430,499","165,984,570",-1.0841,0.2715,"747,539,852","44,169,149",,,-1.09,100,100,"1,499,748",,10.6923,,1.8179,,1.0754,,4.8275,-155.33,0.911,,,,,,,TSE
Y9999,加權指數,2022/12/27,14310.19,14410.24,14310.19,14328.43,"3,659,061","126,379,644",0.3031,0.2454,"747,539,851","44,652,150",,,0.3027,100,100,"1,180,439",,10.8084,,1.8376,,1.0871,,4.7756,43.3,0.7004,,,,,,,TSE
Y9999,加權指數,2022/12/26,14271.2,14301.11,14253.2,14285.13,"3,106,471","113,509,673",0.0946,0.2129,"747,539,836","44,517,756",,,0.0945,100,100,"1,090,485",,10.7765,,1.8322,,1.0839,,4.79,13.5,0.3357,,,,,,,TSE
Y9999,加權指數,2022/12/23,14318.12,14318.12,14192.98,14271.63,"4,245,235","152,610,855",-1.1861,0.2671,"747,539,836","44,475,242",,,-1.1932,100,100,"1,393,207",,10.7653,,1.8303,,1.0827,,4.7942,-171.31,0.8664,,,,,,,TSE
Y9999,加權指數,2022/12/22,14323.04,14442.94,14323.04,14442.94,"5,575,432","214,352,643",1.465,0.4393,"747,539,836","45,008,350",,,1.4544,100,100,"1,691,200",,10.8951,,1.8524,,1.0958,,4.7374,208.54,0.8423,,,,,,,TSE
Y9999,加權指數,2022/12/21,14205.06,14291.98,14197.86,14234.4,"5,608,140","224,180,282",0.4543,0.4363,"747,539,841","44,359,650",,,0.4532,100,100,"1,729,120",,10.7384,,1.8257,,1.0839,,4.8066,64.37,0.6642,,,,,,,TSE
Y9999,加權指數,2022/12/20,14410.75,14451.91,14157.99,14170.03,"7,111,544","267,416,823",-1.8242,0.4964,"747,579,171","44,162,698",,,-1.841,100,100,"2,270,612",,10.6908,,1.8176,,1.0791,,4.8284,-263.29,2.0364,,,,,,,TSE
Y9999,加權指數,2022/12/19,14478.45,14493.72,14411.81,14433.32,"5,688,846","210,179,975",-0.6555,0.4333,"747,581,026","44,983,505",,,-0.6576,100,100,"1,778,446",,10.8881,,1.8511,,1.1002,,4.7402,-95.23,0.5638,,,,,,,TSE
Y9999,加權指數,2022/12/16,14554.21,14568.31,14447.77,14528.55,"7,782,196","303,102,754",-1.3953,0.6026,"747,557,965","45,280,601",,,-1.4051,100,100,"2,372,789",,10.9597,,1.8633,,1.1074,,4.7088,-205.58,0.8181,,,,,,,TSE
Y9999,加權指數,2022/12/15,14692.92,14756.38,14649.54,14734.13,"5,242,285","195,885,001",-0.0355,0.3502,"747,557,905","45,919,197",,,-0.0355,100,100,"1,622,039",,11.1134,,1.8894,,1.1228,,4.6433,-5.23,0.7249,,,,,,,TSE
Y9999,加權指數,2022/12/14,14557.56,14739.36,14557.56,14739.36,"5,425,439","193,245,957",1.4901,0.3564,"747,557,905","45,935,577",,,1.4791,100,100,"1,521,702",,11.1163,,1.8899,,1.1231,,4.6416,216.4,1.2518,,,,,,,TSE
Y9999,加權指數,2022/12/13,14617.86,14658.7,14515.74,14522.96,"4,995,730","192,965,013",-0.6134,0.373,"747,557,905","45,261,363",,,-0.6153,100,100,"1,662,387",,10.9491,,1.8624,,1.1067,,4.7108,-89.63,0.9783,,,,,,,TSE
Y9999,加權指數,2022/12/12,14658.46,14658.46,14538.66,14612.59,"4,583,948","156,933,675",-0.6313,0.3069,"747,557,905","45,539,939",,,-0.6333,100,100,"1,451,236",,11.0169,,1.8739,,1.1136,,4.682,-92.84,0.8147,,,,,,,TSE
Y9999,加權指數,2022/12/09,14620.27,14742.79,14620.27,14705.43,"5,485,304","197,445,555",1.0471,0.3478,"747,587,237","45,827,287",,,1.0417,100,100,"1,562,330",,11.0852,,1.8856,,1.1205,,4.6526,152.39,0.8419,,,,,,,TSE
Y9999,加權指數,2022/12/08,14631.21,14634.16,14464.2,14553.04,"5,406,640","183,857,857",-0.5261,0.327,"747,590,619","45,355,115",,,-0.5275,100,100,"1,622,084",,10.9689,,1.8658,,1.1086,,4.701,-76.97,1.1617,,,,,,,TSE
Y9999,加權指數,2022/12/07,14708.08,14823.15,14630.01,14630.01,"6,813,484","250,578,751",-0.6713,0.4402,"747,570,619","45,593,632",,,-0.6735,100,100,"1,996,002",,11.0275,,1.8757,,1.1145,,4.6764,-98.87,1.3113,,,,,,,TSE
Y9999,加權指數,2022/12/06,14955.29,14957.82,14728.88,14728.88,"6,452,710","249,329,308",-1.6812,0.4372,"747,564,154","45,901,483",,,-1.6955,100,100,"2,099,349",,11.1004,,1.8881,,1.1305,,4.6451,-251.86,1.5282,,,,,,,TSE
Y9999,加權指數,2022/12/05,14972.17,15088.06,14969.97,14980.74,"6,107,215","246,151,762",0.0672,0.4377,"747,564,154","46,687,249",,,0.0672,100,100,"1,995,445",,11.2891,,1.9202,,1.1497,,4.5669,10.06,0.7888,,,,,,,TSE
Y9999,加權指數,2022/12/02,14933.2,15021.73,14921.06,14970.68,"5,601,577","227,146,810",-0.2806,0.407,"746,053,547","46,601,070",,,-0.281,100,100,"1,871,483",,11.2703,,1.917,,1.1478,,4.5753,-42.12,0.6706,,,,,,,TSE
Y9999,加權指數,2022/12/01,15059.92,15152.38,14998.03,15012.8,"7,511,123","296,286,243",0.8955,0.5134,"746,053,547","46,730,811",,,0.8915,100,100,"2,249,418",,11.3013,,1.9226,,1.1438,,4.5622,133.25,1.0373,,,,,,,TSE
Y9999,加權指數,2022/11/30,14678.23,14879.55,14678.23,14879.55,"7,413,107","285,404,157",1.1551,0.6305,"746,039,475","46,318,340",,,1.1485,100,100,"1,879,154",,10.9753,,1.9671,,1.1717,,4.6029,169.91,1.3686,,,,,,,TSE
Y9999,加權指數,2022/11/29,14503.79,14716.58,14449.05,14709.64,"6,002,496","216,213,179",1.0495,0.4253,"746,001,319","45,784,276",,,1.044,100,100,"1,787,834",,10.8522,,1.945,,1.1586,,4.6565,152.77,1.8378,,,,,,,TSE
Y9999,加權指數,2022/11/28,14636.9,14638.19,14503.12,14556.87,"5,256,730","202,234,434",-1.4997,0.3512,"746,001,359","45,309,627",,,-1.5111,100,100,"1,638,606",,10.739,,1.9247,,1.1465,,4.7053,-221.64,0.914,,,,,,,TSE
Y9999,加權指數,2022/11/25,14764.94,14835.66,14756.01,14778.51,"5,565,055","240,583,986",-0.0371,0.4082,"746,001,383","45,998,421",,,-0.0371,100,100,"1,747,160",,10.903,,1.9541,,1.164,,4.6349,-5.49,0.5388,,,,,,,TSE
Y9999,加權指數,2022/11/24,14649.8,14784,14649.8,14784,"5,601,547","221,042,345",1.2011,0.3574,"745,913,910","46,015,194",,,1.1939,100,100,"1,685,529",,10.9047,,1.9544,,1.1633,,4.6332,175.46,0.9186,,,,,,,TSE
Y9999,加權指數,2022/11/23,14595.5,14647.98,14573.41,14608.54,"4,486,340","190,116,049",0.4562,0.3173,"745,909,910","45,469,814",,,0.4552,100,100,"1,488,534",,10.7751,,1.9312,,1.1495,,4.6888,66.34,0.5128,,,,,,,TSE
