date,ipi,ipi_grate
2013/1/1,93.72,20.03
2013/2/1,76.99,-8.48
2013/3/1,94.27,-0.32
2013/4/1,92.27,0.89
2013/5/1,96.85,2.47
2013/6/1,93.53,4.75
2013/7/1,98.68,5.28
2013/8/1,96.79,2.36
2013/9/1,92.74,2.15
2013/10/1,95.18,2.08
2013/11/1,93.03,1.67
2013/12/1,96.24,7.3
2014/1/1,92.29,-1.53
2014/2/1,82.7,7.42
2014/3/1,97.33,3.25
2014/4/1,96.54,4.63
2014/5/1,100.65,3.92
2014/6/1,100.25,7.18
2014/7/1,104.17,5.56
2014/8/1,103.99,7.44
2014/9/1,102.47,10.49
2014/10/1,105.4,10.74
2014/11/1,101.28,8.87
2014/12/1,105,9.1
2015/1/1,102.46,11.02
2015/2/1,85.42,3.29
2015/3/1,104.93,7.81
2015/4/1,99.56,3.13
2015/5/1,100.39,-0.26
2015/6/1,100.46,0.21
2015/7/1,101.18,-2.87
2015/8/1,96.97,-6.75
2015/9/1,96.57,-5.76
2015/10/1,97.97,-7.05
2015/11/1,93.45,-7.73
2015/12/1,97.45,-7.19
2016/1/1,93.4,-8.84
2016/2/1,78.78,-7.77
2016/3/1,100.25,-4.46
2016/4/1,93.95,-5.63
2016/5/1,100.46,0.07
2016/6/1,102.05,1.58
2016/7/1,102.06,0.87
2016/8/1,105.48,8.78
2016/9/1,104.38,8.09
2016/10/1,104.71,6.88
2016/11/1,107.29,14.81
2016/12/1,107.2,10.01
2017/1/1,99.26,6.27
2017/2/1,92.09,16.9
2017/3/1,108.82,8.55
2017/4/1,94.85,0.96
2017/5/1,103.78,3.3
2017/6/1,107.42,5.26
2017/7/1,104.38,2.27
2017/8/1,111.48,5.69
2017/9/1,109.73,5.13
2017/10/1,107.51,2.67
2017/11/1,109.02,1.61
2017/12/1,111.67,4.17
2018/1/1,108.57,9.38
2018/2/1,87.73,-4.73
2018/3/1,115.2,5.86
2018/4/1,102.74,8.32
2018/5/1,111.42,7.36
2018/6/1,107.44,0.02
2018/7/1,109.26,4.68
2018/8/1,112.72,1.11
2018/9/1,111.55,1.66
2018/10/1,116.95,8.78
2018/11/1,111.84,2.59
2018/12/1,110.49,-1.06
2019/1/1,107.2,-1.26
2019/2/1,85.59,-2.44
2019/3/1,104.23,-9.52
2019/4/1,103.66,0.9
2019/5/1,108.54,-2.58
2019/6/1,106.64,-0.74
2019/7/1,113.69,4.05
2019/8/1,115.57,2.53
2019/9/1,110.85,-0.63
2019/10/1,113.95,-2.57
2019/11/1,114.05,1.98
2019/12/1,117.44,6.29
2020/1/1,105.55,-1.54
2020/2/1,103.76,21.23
2020/3/1,116.6,11.87
2020/4/1,108.08,4.26
2020/5/1,110.4,1.71
2020/6/1,114.32,7.2
2020/7/1,117.08,2.98
2020/8/1,120.29,4.08
2020/9/1,123.81,11.69
2020/10/1,121.29,6.44
2020/11/1,122.88,7.74
2020/12/1,129.52,10.29
2021/1/1,126.34,19.7
2021/2/1,106.8,2.93
2021/3/1,136.1,16.72
2021/4/1,123.64,14.4
2021/5/1,129.48,17.28
2021/6/1,135.06,18.14
2021/7/1,134.39,14.78
2021/8/1,136.55,13.52
2021/9/1,138.76,12.07
2021/10/1,135.6,11.8
2021/11/1,137.05,11.53
2021/12/1,140.78,8.69
2022/1/1,137.13,8.54
2022/2/1,116.93,9.49
2022/3/1,140.02,2.88
2022/4/1,131.56,6.41
2022/5/1,134.91,4.19
2022/6/1,135.97,0.67
2022/7/1,136.74,1.75
2022/8/1,140.79,3.11
2022/9/1,132.33,-4.63
2022/10/1,129.73,-4.33
2022/11/1,129.51,-5.5
2022/12/1,129.52,-8
