date,M1B,M1B_grate
2013/1/1,12407945,3.97
2013/2/1,12634244,5.66
2013/3/1,12595646,6.03
2013/4/1,12556675,5.72
2013/5/1,12681028,7.04
2013/6/1,12709184,7.89
2013/7/1,12822892,8.63
2013/8/1,12988059,8.31
2013/9/1,13036629,8.05
2013/10/1,13014770,8.58
2013/11/1,13068044,8.85
2013/12/1,13274088,8.5
2014/1/1,13639696,9.93
2014/2/1,13723996,8.63
2014/3/1,13712635,8.87
2014/4/1,13699653,9.1
2014/5/1,13713754,8.14
2014/6/1,13657227,7.46
2014/7/1,13804385,7.65
2014/8/1,13970453,7.56
2014/9/1,13996471,7.36
2014/10/1,13948695,7.18
2014/11/1,13976530,6.95
2014/12/1,14189364,6.9
2015/1/1,14326278,5.03
2015/2/1,14564263,6.12
2015/3/1,14517099,5.87
2015/4/1,14501393,5.85
2015/5/1,14561211,6.18
2015/6/1,14488540,6.09
2015/7/1,14586258,5.66
2015/8/1,14789586,5.86
2015/9/1,14923309,6.62
2015/10/1,14890569,6.75
2015/11/1,14917407,6.73
2015/12/1,15093681,6.37
2016/1/1,15317647,6.92
2016/2/1,15453965,6.11
2016/3/1,15411180,6.16
2016/4/1,15415157,6.3
2016/5/1,15479035,6.3
2016/6/1,15391712,6.23
2016/7/1,15496601,6.24
2016/8/1,15747945,6.48
2016/9/1,15872722,6.36
2016/10/1,15835378,6.35
2016/11/1,15895721,6.56
2016/12/1,16001058,6.01
2017/1/1,16244054,6.05
2017/2/1,16238168,5.07
2017/3/1,16114960,4.57
2017/4/1,16064145,4.21
2017/5/1,16088751,3.94
2017/6/1,16074104,4.43
2017/7/1,16265513,4.96
2017/8/1,16552266,5.11
2017/9/1,16589043,4.51
2017/10/1,16564701,4.61
2017/11/1,16594359,4.4
2017/12/1,16645671,4.03
2018/1/1,16748718,3.11
2018/2/1,17075537,5.16
2018/3/1,16994742,5.46
2018/4/1,16963770,5.6
2018/5/1,17110043,6.35
2018/6/1,17022644,5.9
2018/7/1,17201629,5.76
2018/8/1,17414867,5.21
2018/9/1,17454864,5.22
2018/10/1,17444488,5.31
2018/11/1,17438972,5.09
2018/12/1,17592801,5.69
2019/1/1,17845836,6.55
2019/2/1,18095040,5.97
2019/3/1,18162075,6.87
2019/4/1,18261561,7.65
2019/5/1,18347344,7.23
2019/6/1,18274387,7.35
2019/7/1,18463162,7.33
2019/8/1,18726826,7.53
2019/9/1,18744555,7.39
2019/10/1,18663224,6.99
2019/11/1,18740366,7.46
2019/12/1,18901441,7.44
2020/1/1,19203394,7.61
2020/2/1,19360834,7
2020/3/1,19437733,7.02
2020/4/1,19630514,7.5
2020/5/1,19779854,7.81
2020/6/1,20082699,9.9
2020/7/1,20364727,10.3
2020/8/1,20779465,10.96
2020/9/1,21011747,12.1
2020/10/1,21061398,12.85
2020/11/1,21419902,14.3
2020/12/1,21957908,16.17
2021/1/1,22622754,17.81
2021/2/1,22956480,18.57
2021/3/1,22981901,18.23
2021/4/1,23111944,17.73
2021/5/1,23288445,17.74
2021/6/1,23569675,17.36
2021/7/1,23760484,16.67
2021/8/1,23977765,15.39
2021/9/1,24156031,14.96
2021/10/1,24207931,14.94
2021/11/1,24457750,14.18
2021/12/1,24758016,12.75
2022/1/1,25221943,11.49
2022/2/1,25498947,11.08
2022/3/1,25490519,10.92
2022/4/1,25379697,9.81
2022/5/1,25276153,8.54
2022/6/1,25474479,8.08
2022/7/1,25345565,6.67
2022/8/1,25789157,7.55
2022/9/1,25746139,6.58
2022/10/1,25462085,5.18
2022/11/1,25539134,4.42
2022/12/1,25783954,4.14
