日期,總指數,食物類,衣著類,居住類,交通類,"醫　藥
保健類","教　養
娛樂類",雜項類
2013/01/01,93.41,83.84,96.94,96.23,104.42,93.24,97.98,88.84
2013/02/01,93.85,82.51,93.12,96.39,105.71,93.42,100.8,92.62
2013/03/01,92.5,81.26,91.63,96.48,104.52,93.74,97.59,88.81
2013/04/01,93.08,81.89,101.47,96.48,103.95,93.66,98.16,89.1
2013/05/01,93.25,83.2,100.03,96.48,103.52,93.78,97.77,88.62
2013/06/01,93.72,83.6,97.88,97.54,103.52,93.96,98.26,89.38
2013/07/01,93.58,82.98,94.9,97.59,103.23,93.97,99.7,88.74
2013/08/01,93.69,83.66,91.21,97.66,103.66,94,99.38,88.99
2013/09/01,94.92,87.73,89.92,97.8,104.12,93.98,99.17,89.33
2013/10/01,94.66,86.93,103.89,96.85,103.47,93.69,98.53,88.28
2013/11/01,93.98,85.24,102.09,96.99,103.1,93.9,97.7,88.52
2013/12/01,93.89,85.06,99.25,97.07,103.39,94.06,97.37,89.19
2014/01/01,94.18,84.67,95.81,96.98,103.47,93.92,98.66,93.44
2014/02/01,93.81,84.64,92.52,97.07,103.48,94.18,98.76,89.85
2014/03/01,93.99,85.86,90.67,97.18,103.61,94.38,97.51,90.16
2014/04/01,94.62,86.11,103.02,97.21,103.35,94.49,98.26,90.41
2014/05/01,94.76,86.79,101.92,97.21,103.39,94.33,98.28,90.22
2014/06/01,95.25,86.78,100.04,98.67,103.72,94.6,98.79,90.75
2014/07/01,95.22,86.53,97.31,98.75,103.89,94.58,99.76,90.1
2014/08/01,95.64,88.35,93.69,99.09,103.6,94.49,99.62,89.97
2014/09/01,95.59,88.97,92.8,99.12,102.72,94.65,98.73,90.56
2014/10/01,95.66,89.83,105.84,97.68,101.69,94.3,98.46,89.53
2014/11/01,94.78,88.35,103.11,97.57,100.45,94.44,97.38,89.75
2014/12/01,94.46,88.74,100.46,97.34,98.3,94.34,97.36,89.86
2015/01/01,93.3,88.45,96.92,94.87,96.1,94.45,97.16,89.99
2015/02/01,93.62,87.26,93.09,95.02,96.74,94.38,99.52,94.09
2015/03/01,93.41,87.09,91.38,96.76,97,94.62,97.52,90.41
2015/04/01,93.84,87.39,102.44,96.16,97.18,94.44,98.1,90.41
2015/05/01,94.07,87.56,100.76,96.5,98.32,94.36,98.07,90.44
2015/06/01,94.72,88.41,98.48,97.88,98.07,94.57,98.77,90.82
2015/07/01,94.62,88.06,95.68,98.03,97.67,94.71,99.86,90.14
