,總人口數(千人),15歲以上民間人口(千人),勞動力(千人),就業人數(千人),失業人數(千人),15歲以上民間人口占總人口數(%),勞動力占總人口數(%),勞動力參與率(%),就業人口占總人口數(%),就業人口占15歲以上民間人口(%),就業人口占勞動力(%),失業率(%)
2013/1/1,"23,199","19,531","11,410","10,935",475,84.19,49.18,58.42,47.14,55.99,95.84,4.16
2013/2/1,"23,203","19,544","11,398","10,915",483,84.23,49.12,58.32,47.04,55.85,95.76,4.24
2013/3/1,"23,206","19,555","11,396","10,921",475,84.27,49.11,58.28,47.06,55.85,95.83,4.17
2013/4/1,"23,208","19,564","11,392","10,929",464,84.3,49.09,58.23,47.09,55.86,95.93,4.07
2013/5/1,"23,212","19,573","11,401","10,939",463,84.32,49.12,58.25,47.13,55.89,95.94,4.06
2013/6/1,"23,216","19,583","11,432","10,959",473,84.35,49.24,58.38,47.2,55.96,95.86,4.14
2013/7/1,"23,221","19,592","11,471","10,984",487,84.37,49.4,58.55,47.3,56.06,95.75,4.25
2013/8/1,"23,224","19,602","11,498","11,000",497,84.4,49.51,58.66,47.37,56.12,95.67,4.33
2013/9/1,"23,226","19,611","11,466","10,980",486,84.44,49.37,58.47,47.28,55.99,95.76,4.24
2013/10/1,"23,230","19,620","11,483","10,996",487,84.46,49.43,58.52,47.33,56.04,95.76,4.24
2013/11/1,"23,235","19,630","11,497","11,019",478,84.48,49.48,58.57,47.42,56.13,95.84,4.16
2013/12/1,"23,241","19,639","11,498","11,029",469,84.5,49.47,58.55,47.46,56.16,95.92,4.08
2014/1/1,"23,244","19,649","11,498","11,036",462,84.53,49.47,58.52,47.48,56.17,95.98,4.02
2014/2/1,"23,245","19,658","11,489","11,019",470,84.57,49.42,58.44,47.4,56.05,95.91,4.09
2014/3/1,"23,245","19,667","11,490","11,027",463,84.61,49.43,58.42,47.44,56.07,95.97,4.03
2014/4/1,"23,248","19,676","11,489","11,040",449,84.64,49.42,58.39,47.49,56.11,96.09,3.91
2014/5/1,"23,251","19,687","11,496","11,052",443,84.67,49.44,58.39,47.54,56.14,96.15,3.85
2014/6/1,"23,256","19,698","11,513","11,062",451,84.7,49.51,58.45,47.57,56.16,96.08,3.92
2014/7/1,"23,261","19,709","11,555","11,091",464,84.73,49.68,58.63,47.68,56.27,95.98,4.02
2014/8/1,"23,267","19,722","11,583","11,110",473,84.76,49.78,58.73,47.75,56.34,95.92,4.08
