,"工業生產指數(年增率)"
,,,,,,,,,,,,,,,,,,,"單位：基期=105年"
"統計期","總指數","年增率(%)","總指數(不含土石採取業)","年增率(%)","礦業及土石採取業","年增率(%)","製造業","年增率(%)","金屬機電工業","年增率(%)","資訊電子工業","年增率(%)","化學工業","年增率(%)","民生工業","年增率(%)","電力及燃氣供應業","年增率(%)","用水供應業","年增率(%)",
"102年","93.36","3.21","93.31","3.24","117.07","-8.27","92.93","3.40","97.94","0.58","87.40","6.38","99.63","1.50","95.76","1.33","97.61","1.42","101.29","0.71",
"102年1月","93.72","20.03","93.64","20.07","125.90","9.39","93.40","21.58","101.55","24.16","82.44","20.95","105.41","18.13","104.62","25.82","95.99","2.72","101.59","-0.35",
"102年2月","76.99","-8.48","76.93","-8.44","101.85","-17.15","76.54","-8.27","76.76","-18.50","71.49","-0.83","89.18","-7.99","74.37","-15.35","80.79","-11.66","92.57","-1.43",
"102年3月","94.27","-0.32","94.22","-0.24","117.54","-17.41","94.19","-0.01","102.48","-2.56","85.38","1.87","105.09","0.33","96.78","-2.95","93.08","-3.38","103.50","0.96",
"102年4月","92.27","0.89","92.20","0.96","125.16","-13.52","92.07","0.79","97.60","-2.06","86.91","4.62","98.04","-2.74","93.46","-1.07","92.81","4.66","98.97","0.35",
"102年5月","96.85","2.47","96.79","2.50","120.25","-8.50","96.29","1.99","99.50","-4.51","92.59","7.35","100.26","-0.96","100.15","0.90","103.21","11.34","103.30","0.92",
"102年6月","93.53","4.75","93.46","4.78","123.47","1.03","92.82","4.81","95.62","-3.21","90.21","9.25","95.19","4.70","95.54","5.00","101.90","4.53","101.64","2.03",
"102年7月","98.68","5.28","98.63","5.32","115.71","-9.82","97.90","5.71","102.38","3.39","92.77","7.47","103.97","5.85","101.44","3.13","108.66","0.23","105.65","2.16",
"102年8月","96.79","2.36","96.77","2.40","109.80","-7.67","95.84","2.40","99.90","1.76","91.60","4.32","100.66","0.72","98.54","-0.78","109.70","2.07","104.86","2.47",
"102年9月","92.74","2.15","92.71","2.17","106.84","-8.42","91.95","2.14","93.51","1.11","90.25","5.14","94.37","-1.53","92.87","-0.65","103.04","2.79","99.80","-0.03",
