date,new_issue_stock_ratio
2013/1/1,0.229
2013/2/1,0.2469
2013/3/1,0.0096
2013/4/1,0.0062
2013/5/1,0.1844
2013/6/1,0.1069
2013/7/1,0.2583
2013/8/1,0.6066
2013/9/1,0.5001
2013/10/1,0.4065
2013/11/1,0.0663
2013/12/1,0.0051
2014/1/1,0.0136
2014/2/1,0.6544
2014/3/1,0.0015
2014/4/1,0.3477
2014/5/1,0.0416
2014/6/1,0.0217
2014/7/1,0.3218
2014/8/1,0.7604
2014/9/1,0.1978
2014/10/1,0.1401
2014/11/1,0.0033
2014/12/1,0.0777
2015/1/1,0.2075
2015/2/1,0.422
2015/3/1,0.0158
2015/4/1,0.0348
2015/5/1,0.0091
2015/6/1,0.0076
2015/7/1,0.5075
2015/8/1,0.515
2015/9/1,0.2469
2015/10/1,0.4839
2015/11/1,0.4439
2015/12/1,0.2187
2016/1/1,0.0608
2016/2/1,0.5794
2016/3/1,0.5872
2016/4/1,0.0898
2016/5/1,0.1516
2016/6/1,0.0244
2016/7/1,0.7683
2016/8/1,0.7119
2016/9/1,0.3629
2016/10/1,0.4009
2016/11/1,0.1783
2016/12/1,0.0116
2017/1/1,0.217
2017/2/1,0.3545
2017/3/1,0.2204
2017/4/1,0.0892
2017/5/1,0.0195
2017/6/1,0.0793
2017/7/1,0.1373
2017/8/1,0.6348
2017/9/1,0.2339
2017/10/1,0.2686
2017/11/1,0.3533
2017/12/1,0.122
2018/1/1,0.0733
2018/2/1,0.0299
2018/3/1,0.0427
2018/4/1,0.153
2018/5/1,0.054
2018/6/1,0.0418
2018/7/1,0.2119
2018/8/1,0.6287
2018/9/1,0.2355
2018/10/1,0.5389
2018/11/1,0.1704
2018/12/1,0.1238
2019/1/1,0.2596
2019/2/1,0.1224
2019/3/1,0.0043
2019/4/1,0.0309
2019/5/1,0.0461
2019/6/1,0.0613
2019/7/1,0.2105
2019/8/1,0.5077
2019/9/1,0.1029
2019/10/1,0.1914
2019/11/1,0.166
2019/12/1,0.1061
2020/1/1,0.3095
2020/2/1,0.0995
2020/3/1,0.016
2020/4/1,0.0517
2020/5/1,0.0629
2020/6/1,0.0454
2020/7/1,0.2499
2020/8/1,0.4136
2020/9/1,0.0837
2020/10/1,0.1508
2020/11/1,0.1265
2020/12/1,0.0187
2021/1/1,0.0851
2021/2/1,0.566
2021/3/1,0.0893
2021/4/1,0.0361
2021/5/1,0.0606
2021/6/1,0.0815
2021/7/1,0.2954
2021/8/1,0.1802
2021/9/1,0.3346
2021/10/1,0.1662
2021/11/1,0.1726
2021/12/1,0.1853
2022/1/1,0.1916
2022/2/1,0.4309
2022/3/1,0.0165
2022/4/1,0.2621
2022/5/1,0.096
2022/6/1,0.1437
2022/7/1,0.3199
2022/8/1,0.2769
2022/9/1,0.3764
2022/10/1,0.288
2022/11/1,0.2353
2022/12/1,0.2908
