date,shtmrg
2013/1/2,7.76
2013/1/3,7.91
2013/1/4,8
2013/1/7,7.86
2013/1/8,7.75
2013/1/9,7.79
2013/1/10,7.96
2013/1/11,8
2013/1/14,8.08
2013/1/15,8.08
2013/1/16,7.96
2013/1/17,7.77
2013/1/18,7.13
2013/1/21,7.11
2013/1/22,7.03
2013/1/23,6.91
2013/1/24,7.02
2013/1/25,7
2013/1/28,7.08
2013/1/29,7.06
2013/1/30,7.06
2013/1/31,5.85
2013/2/1,5.7
2013/2/4,5.57
2013/2/5,5.42
2013/2/6,5.28
2013/2/18,5.4
2013/2/19,5.61
2013/2/20,5.69
2013/2/21,5.59
2013/2/22,5.52
2013/2/23,5.53
2013/2/25,5.55
2013/2/26,5.38
2013/2/27,5.43
2013/3/1,5.49
2013/3/4,5.38
2013/3/5,5.4
2013/3/6,5.52
2013/3/7,5.48
2013/3/8,5.54
2013/3/11,5.6
2013/3/12,5.5
2013/3/13,5.32
2013/3/14,5.13
2013/3/15,5.22
2013/3/18,5.08
2013/3/19,5.06
2013/3/20,4.96
2013/3/21,5.03
2013/3/22,5.06
2013/3/25,4.97
2013/3/26,4.84
2013/3/27,4.66
2013/3/28,4.55
2013/3/29,4.47
2013/4/1,4.18
2013/4/2,3.91
2013/4/3,3.5
2013/4/8,2.78
2013/4/9,2.65
2013/4/10,2.55
2013/4/11,2.41
2013/4/12,1.91
2013/4/15,1.81
2013/4/16,1.79
2013/4/17,1.87
2013/4/18,1.95
2013/4/19,1.85
2013/4/22,1.83
2013/4/23,1.91
2013/4/24,2.15
2013/4/25,2.2
2013/4/26,2.32
2013/4/29,2.46
2013/4/30,2.55
2013/5/2,2.63
2013/5/3,2.91
2013/5/6,2.99
2013/5/7,3.02
2013/5/8,3.17
2013/5/9,3.21
2013/5/10,3.28
2013/5/13,3.32
2013/5/14,3.43
2013/5/15,3.51
2013/5/16,3.6
2013/5/17,3.53
2013/5/20,3.61
2013/5/21,3.61
2013/5/22,3.75
2013/5/23,3.4
2013/5/24,3.35
2013/5/27,3.49
2013/5/28,3.6
2013/5/29,3.72
2013/5/30,3.59
2013/5/31,3.4
2013/6/3,3.39
2013/6/4,3.41
2013/6/5,3.39
2013/6/6,3.29
2013/6/7,3.2
2013/6/10,3.26
2013/6/11,3.27
2013/6/13,3.1
2013/6/14,3.03
2013/6/17,3.06
2013/6/18,3.01
2013/6/19,3.07
2013/6/20,3.12
2013/6/21,2.72
2013/6/24,2.68
2013/6/25,2.49
2013/6/26,2.66
2013/6/27,2.75
2013/6/28,2.81
2013/7/1,2.78
2013/7/2,2.69
2013/7/3,2.86
2013/7/4,2.97
2013/7/5,3.08
2013/7/8,3.16
2013/7/9,3.27
2013/7/10,3.17
2013/7/11,3.17
2013/7/12,3.15
2013/7/15,3.06
2013/7/16,3
2013/7/17,3
2013/7/18,3.26
2013/7/19,2.96
2013/7/22,3
2013/7/23,3.04
2013/7/24,3.08
2013/7/25,3.11
2013/7/26,3.09
2013/7/29,3.01
2013/7/30,3.12
2013/7/31,3.22
2013/8/1,3.19
2013/8/2,3.28
2013/8/5,3.22
2013/8/6,3.23
2013/8/7,3.23
2013/8/8,3.36
2013/8/9,3.32
2013/8/12,3.41
2013/8/13,3.52
2013/8/14,3.46
2013/8/15,3.52
2013/8/16,3.6
2013/8/19,3.63
2013/8/20,3.58
2013/8/22,3.59
2013/8/23,3.7
2013/8/26,3.73
2013/8/27,3.72
2013/8/28,3.48
2013/8/29,3.58
2013/8/30,3.64
2013/9/2,3.65
2013/9/3,3.75
2013/9/4,3.86
2013/9/5,3.99
2013/9/6,3.95
2013/9/9,3.95
2013/9/10,3.97
2013/9/11,4.01
2013/9/12,4
2013/9/13,3.98
2013/9/14,3.92
2013/9/16,3.97
2013/9/17,4.01
2013/9/18,4.04
2013/9/23,4.16
2013/9/24,4.26
2013/9/25,4.34
2013/9/26,4.29
2013/9/27,4.47
2013/9/30,4.51
2013/10/1,4.63
2013/10/2,4.69
2013/10/3,4.66
2013/10/4,4.68
2013/10/7,4.85
2013/10/8,4.66
2013/10/9,4.56
2013/10/11,4.53
2013/10/14,4.6
2013/10/15,4.74
2013/10/16,4.88
2013/10/17,5.02
2013/10/18,5.04
2013/10/21,4.95
2013/10/22,4.84
2013/10/23,4.91
2013/10/24,4.93
2013/10/25,4.83
2013/10/28,4.81
2013/10/29,4.89
2013/10/30,4.97
2013/10/31,4.95
2013/11/1,5.03
2013/11/4,5.04
2013/11/5,4.95
2013/11/6,5.18
2013/11/7,5.18
2013/11/8,5.17
2013/11/11,5.2
2013/11/12,5.22
2013/11/13,5.13
2013/11/14,5.23
2013/11/15,5.29
2013/11/18,5.33
2013/11/19,5.26
2013/11/20,5.26
2013/11/21,5.18
2013/11/22,5.2
2013/11/25,5.23
2013/11/26,5.26
2013/11/27,5.33
2013/11/28,5.45
2013/11/29,5.5
2013/12/2,5.5
2013/12/3,5.54
2013/12/4,5.58
2013/12/5,5.57
2013/12/6,5.56
2013/12/9,5.51
2013/12/10,5.55
2013/12/11,5.61
2013/12/12,5.62
2013/12/13,5.6
2013/12/16,5.58
2013/12/17,5.58
2013/12/18,5.57
2013/12/19,5.49
2013/12/20,5.48
2013/12/23,5.44
2013/12/24,5.48
2013/12/25,5.46
2013/12/26,5.41
2013/12/27,5.38
2013/12/30,5.47
2013/12/31,5.54
2014/1/2,5.63
2014/1/3,5.62
2014/1/6,5.56
2014/1/7,5.62
2014/1/8,5.6
2014/1/9,5.56
2014/1/10,5.58
2014/1/13,5.52
2014/1/14,5.44
2014/1/15,5.56
2014/1/16,5.49
2014/1/17,5.06
2014/1/20,5.04
2014/1/21,4.96
2014/1/22,4.93
2014/1/23,4.93
2014/1/24,4.81
2014/1/27,4.52
2014/2/5,4.37
2014/2/6,4.47
2014/2/7,4.57
2014/2/10,4.63
2014/2/11,4.55
2014/2/12,4.46
2014/2/13,4.41
2014/2/14,4.42
2014/2/17,4.41
2014/2/18,4.39
2014/2/19,4.46
2014/2/20,4.44
2014/2/21,4.48
2014/2/24,4.49
2014/2/25,4.51
2014/2/26,4.5
2014/2/27,4.49
2014/3/3,4.36
2014/3/4,4.31
2014/3/5,4.31
2014/3/6,4.29
2014/3/7,4.18
2014/3/10,4.15
2014/3/11,4.11
2014/3/12,4
2014/3/13,3.95
2014/3/14,3.89
2014/3/17,3.82
2014/3/18,3.85
2014/3/19,3.74
2014/3/20,3.57
2014/3/21,3.47
2014/3/24,3.34
2014/3/25,3.42
2014/3/26,3.44
2014/3/27,3.41
2014/3/28,3.25
2014/3/31,3.19
2014/4/1,3.02
2014/4/2,2.8
2014/4/3,2.62
2014/4/7,2.52
2014/4/8,2.37
2014/4/9,2.36
2014/4/10,1.98
2014/4/11,1.66
2014/4/14,1.61
2014/4/15,1.67
2014/4/16,1.84
2014/4/17,1.77
2014/4/18,1.69
2014/4/21,1.83
2014/4/22,1.97
2014/4/23,2.05
2014/4/24,2.2
2014/4/25,2.17
2014/4/28,2.27
2014/4/29,2.53
2014/4/30,2.64
2014/5/2,2.77
2014/5/5,2.74
2014/5/6,2.86
2014/5/7,2.86
2014/5/8,2.93
2014/5/9,2.9
2014/5/12,2.85
2014/5/13,2.91
2014/5/14,2.84
2014/5/15,2.84
2014/5/16,2.84
2014/5/19,2.87
2014/5/20,2.87
2014/5/21,2.84
2014/5/22,2.84
2014/5/23,2.83
2014/5/26,3.17
2014/5/27,3.11
2014/5/28,3.13
2014/5/29,3.17
2014/5/30,3.15
2014/6/3,3.09
2014/6/4,3.17
2014/6/5,3.25
2014/6/6,3.02
2014/6/9,2.87
2014/6/10,2.85
2014/6/11,2.94
2014/6/12,2.91
