,return,trade_num,sharpe_ratio
lag1_pos_neg_jou_lr_0.9_djia,-0.11721699697982502,468,4.196838993911396
lag1_pos_neg_jou_lr_0.8_djia,-0.39348455265832993,848,3.2375437848982744
lag1_pos_neg_jou_lr_0.7_djia,-0.8806110688907554,1354,2.4829183047050405
lag1_pos_neg_jou_svc_0.9_djia,-0.10361621231857776,444,4.2790722766890115
lag1_pos_neg_jou_svc_0.8_djia,-0.6091409327261055,896,2.519818713768792
lag1_pos_neg_jou_svc_0.7_djia,-1.167513099601872,1344,1.7738305448661729
lag1_pos_neg_jou_rfc_0.9_djia,-0.13891719584277462,472,3.9970622387276102
lag1_pos_neg_jou_rfc_0.8_djia,-0.4160647754273852,846,3.142189210539102
lag1_pos_neg_jou_rfc_0.7_djia,-0.8045792072642055,1188,2.279082864535079
lag1_pos_neg_jou_xgb_0.9_djia,-0.15776681923832558,474,3.8872883015951962
lag1_pos_neg_jou_xgb_0.8_djia,-0.40795089208976343,914,3.435121473597729
lag1_pos_neg_jou_xgb_0.7_djia,-1.0895376140739985,1420,2.1627384295030345
lag1_pos_neg_jou_sv_0.9_djia,-0.08312164568938318,464,4.427336928827227
lag1_pos_neg_jou_sv_0.8_djia,-0.3729947333346396,856,3.322213511397887
lag1_pos_neg_jou_sv_0.7_djia,-1.0435252901030412,1362,2.1250675916029964
lag1_pos_neg_jou_lstm_0.9_djia,-0.1809992212950543,454,3.544903360810394
lag1_pos_neg_jou_lstm_0.8_djia,-0.7738210018068652,870,1.7328199694402744
lag1_pos_neg_jou_lstm_0.7_djia,-1.1616546217863963,1326,1.6945234129221476
