text,score
一下子爆發,-0.38874592
一下子爆發的一連串,-0.208389089
一夕成名,0
一大打擊,-0.4059861
一大步,0.048718
一大指標,0.02775835
一大突破,0.2054757
一大問題,-0.06945255
一大勝利,0.32151185
一大障礙,-0.04172545
一己之力,0.15985245
一分打點,0.287740425
一反,-0.4540008
一反前態,-0.2520004
一夫當關,0.224588275
一巴掌,-0.221000867
一心想,0.293363867
一手造成,-0.174794575
一文不值,-0.1126813
一日千里,0.04946985
一片譁然,-0.00426785
一再,0
一再,0
一再出現,0.02988815
一再叮囑,-0.0085089
一再受挫,-0.1315382
一同競爭,0.049700275
一吐為快,0.0957688
一向,0.0540008
一向認為,0.063013275
一如,0.2082702
一如以往,0.080425
一如往昔,0.1146444
一如預期,0.1785057
一字不差,0.3672341
一帆風順,0.21161995
一死,-0.4665608
一屁股,-0.269333867
一肚子氣,-0.1981327
一肚子壞水,-0.40328912
一見鍾情,0.221154175
一事無成,-0.166742425
一併打破,0.42876105
一併移轉,0.0270004
一併通過,0.0147372
一味,0
一味,0
一味反對,-0.248357025
一味討好,-0.30472395
一命嗚呼,-0.015151225
一定,0.2731792
一定可以,0.21417945
一定是,0.148786133
一定要,0.2795285
一定要像,0.234646375
一定時間,0.16412015
一定能,0.382119467
一定參加,0.19285785
一定得,0.408541867
一定程度,0.13533935
一定會,0.309482067
一定會是,0.20711155
一往情深,0.2861606
一枝獨秀,0.0791004
一爭高下,0.147357175
一直,0.2729052
一直是,0.148603467
一直堅持,0.29757645
一知半解,-0.2392019
一秉,0.0040008
一雨成災,-0.02842995
一律,0.0040008
一律列入,0.0020004
一昧,-0.0540008
一昧要求,-0.044055975
一流,0.09307315
一炮而紅,3.57E-05
一致,0.2731792
一致公認,0.26022745
一致支持,0.15564695
一致同意,0.337303
一致決,0.313999567
一致決議,0.210499675
一致性,0.196131867
一致宣布,0.1115896
一致建議,0.1365896
一致看好,0.3079327
一致通過,0.1238528
一面倒,0
一面倒,0
一個屁,-0.236000533
一個機會,0.18986515
一個頭兩個大,-0.144483633
一個願打一個願挨,-0.048965475
一哭二鬧三上吊,-0.204737329
一席之地,0.066161775
一拳,-0.1290008
一時大意,-0.15549495
一氣,-0.0135348
一氣之下,-0.1807326
一笑置之,0.0910697
一級棒,0.024766867
一般殺人罪,-0.32036608
一陣狂風,-0.00589815
一陣緊張,-0.232289275
一張臭臉,-0.36828115
一桿進洞,0.1453708
一統,0.0459992
一統江山,0.0229996
一貫,0.0459992
一逕,-0.0040008
一雪前恥,0.063292775
一勝難求,-0.02988285
一勝難求郎,-0.04390628
一廂情願,0
一廂情願,0
一掌,-0.0065013
一減再減,-0.25438615
一無所悉,-0.035979775
一番波折,-0.1645004
一番苦戰,-0.203398625
一發不可收拾,-0.033825
一筆帶過,-0.0633023
一開始,0.0748216
一意,0.21544
一意孤行,-0.04880665
一腳踹開,-0.0563838
一落千丈,-0.2520004
一路平安,0.377548725
一路長紅,0.1279794
一路順風,0.16161995
一路過關斬將,0.032962167
一路緊咬,0.107289275
一路趕上,0.024283125
一路領先,0.0085089
一路攀升,0.0020004
一路穩健,0.24298705
一道大菜,0.115762
一團混亂,-0.4520004
一團糟,-0.236000533
一摑,-0.0540008
一槍斃了你,-0.05115568
一種威脅,-0.0862198
一窩蜂,0.0113452
一語帶過,-0.1508023
一鳴驚人,0.12915445
一樣,0.0540008
一樣有效,0.17320555
一樣容易,0.15381785
一盤未失,0.4270004
一箭之仇,-0.1395004
一線生機,0.1446073
一線曙光,0.1365896
一錯再錯,-0.4270004
一頭熱,0
一頭熱,0
一償宿願,0.04992415
一臂之力,0.18485245
一舉成名,0.256147225
一舉解決,0.243514925
一舉擊敗,0.4020004
一點也沒有幫,-0.032062433
一點用都沒有,-0.01721095
一點點,-0.069333867
一壘安打,0.0133941
一蹶不振,-0.1672341
一蹴可幾,0.10980885
