text,score
情緒,-1
淡,-1
下跌,-1
沒想到,-1
下滑,-1
淡季,-1
抵銷,-1
賣股,-1
不宜,-1
開高走低,-1
瘋狂,-1
拆,-1
跌幅,-1
狀況,-1
虧損,-1
低於,-1
貶值,-1
波動,-1
恐,-1
庫存,-1
擔心,-1
難,-1
貶,-1
年減,-1
引發,-1
負,-1
受限,-1
不景氣,-1
醫療,-1
下降,-1
衝擊,-1
重挫,-1
債權減產,-1
嚴重,-1
代價,-1
遺憾,-1
遺產稅,-1
不符,-1
不致,-1
偏空,-1
分拆,-1
裁定,-1
誤解,-1
貶勢,-1
賠,-1
逆,-1
醜聞,-1
閃,-1
小心,-1
崩盤,-1
折扣,-1
拋匯,-1
拋售,-1
搜索,-1
死,-1
災害,-1
破壞,-1
艱難,-1
衰減,-1
跌破,-1
危機,-1
震盪,-1
低迷,-1
債務,-1
負債,-1
不佳,-1
疑慮,-1
購併,-1
釋出,-1
債券,-1
意外,-1
走貶,-1
抗,-1
反對,-1
受災戶,-1
告終,-1
回測,-1
多空,-1
大降,-1
寒流,-1
指責,-1
排放,-1
搶下,-1
搶佔,-1
搶購,-1
信貸,-1
祭出,-1
走低,-1
降幅,-1
差,-1
導致,-1
差距,-1
危險,-1
打擊,-1
痛,-1
併購案,-1
日漸,-1
弱,-1
萎縮,-1
困難,-1
所得稅,-1
賣壓,-1
黑,-1
復甦,-1
爆料,-1
負成長,-1
惡化,-1
房價,-1
房貸,-1
失守,-1
減速,-1
辭世,-1
飽和,-1
回補,-1
失敗,-1
不可能,-1
暫停,-1
批空頭意圖付出殭屍投機,-1
難以,-1
減弱,-1
告,-1
喪失,-1
回復,-1
坦承,-1
奇怪,-1
妖怪,-1
落差,-1
解約,-1
解鎖,-1
談判,-1
跌下,-1
跌價,-1
退票,-1
造假,-1
陷阱,-1
離職,-1
震蕩,-1
驚驚,-1
不幸,-1
乏力,-1
享壽,-1
做空,-1
反問,-1
反擊,-1
負利率,-1
延後,-1
負面,-1
之下,-1
債,-1
疲軟,-1
地震,-1
節能,-1
落後,-1
謹慎,-1
退出,-1
弱勢,-1
違反,-1
遺產,-1
害怕,-1
戰場,-1
抨擊,-1
撤出,-1
曝險,-1
武器,-1
消耗,-1
消費稅,-1
消退,-1
災難,-1
無效,-1
監督,-1
縮水,-1
加大,-1
稅,-1
不會,-1
爆發,-1
跌勢,-1
暫緩,-1
稅負,-1
企圖損,-1
爆出,-1
耗電,-1
拆除,-1
融資,-1
賣出,-1
跌停,-1
離開,-1
維修,-1
趨緩,-1
降,-1
客,-1
悲觀,-1
借貸,-1
急,-1
憂慮,-1
稅率,-1
凍結,-1
升轉貶,-1
拉長,-1
訴訟,-1
警告,-1
裁員,-1
失業砍,-1
起訴吐,-1
縮減跳空承擔,-1
折舊,-1
減幅,-1
不滿,-1
放緩,-1
購併案,-1
衰退,-1
潛在,-1
干預,-1
情勢,-1
侵害,-1
降準,-1
短缺,-1
減損,-1
削弱,-1
劇烈,-1
否認,-1
理賠,-1
疑似,-1
終止,-1
緊急,-1
停止,-1
關閉,-1
不安,-1
不明,-1
不易,-1
傷害,-1
凍產,-1
憂心,-1
違法,-1
利空,-1
嚴格,-1
淨損,-1
身故,-1
拖累,-1
偏低,-1
中止,-1
癌症,-1
觀望,-1
假,-1
擔憂,-1
陷入,-1
罷工,-1
減緩,-1
損益,-1
破局,-1
傾銷,-1
擠下,-1
回跌,-1
挫跌,-1
步入,-1
熔斷,-1
被迫,-1
課稅,-1
分歧,-1
收斂,-1
抗議,-1
放棄,-1
考驗,-1
能見度,-1
遭到,-1
不振,-1
遭受,-1
上訴,-1
消失,-1
虧,-1
不確定性,-1
火災,-1
泡沫,-1
併入,-1
大減,-1
減少,-1
缺乏,-1
壞,-1
承認,-1
跌跌,-1
內線,-1
犯罪,-1
落入,-1
炒作,-1
慘,-1
大赦,-1
損害,-1
難度,-1
撤銷,-1
複雜違約流失,-1
走弱,-1
盤整,-1
老,-1
沉重,-1
辭職,-1
償還,-1
救,-1
回檔,-1
逆風,-1
退依賴,-1
不利,-1
緩步,-1
怕,-1
失去,-1
衝突,-1
翻黑,-1
走疲,-1
過度,-1
辦公,-1
接管,-1
災,-1
回落,-1
失業率,-1
無法,-1
緊張,-1
跌到,-1
下去,-1
撤換,-1
離婚,-1
窘境,-1
檢討,-1
抑制,-1
降為,-1
捍衛,-1
改選,-1
私募動蕩處分,-1
大跌,-1
詐騙,-1
休市,-1
攻擊,-1
風暴,-1
挫,-1
營業稅,-1
恐怕,-1
暴跌,-1
欠缺,-1
監管,-1
涉嫌,-1
低溫,-1
蒸發,-1
障礙,-1
保衛戰,-1
不需,-1
強震,-1
季減,-1
推遲,-1
加劇,-1
下,-1
緩慢,-1
海嘯,-1
疲弱,-1
懷疑,-1
跌深,-1
干擾,-1
判決,-1
空,-1
地震險,-1
爆,-1
量縮,-1
下台,-1
治療,-1
困擾,-1
損失,-1
供過於求,-1
回收,-1
死亡,-1
遭遇,-1
重整,-1
改革,-1
災區,-1
不當,-1
下挫,-1
預警,-1
過世,-1
出脫,-1
震災,-1
防止,-1
大戰,-1
佔據,-1
對抗,-1
偽鈔,-1
承接,-1
匯損,-1
赤字,-1
質疑,-1
停滯,-1
沒有,-1
負擔,-1
緊縮,-1
下調,-1
追思,-1
浪費,-1
疲,-1
放空,-1
頹勢,-1
恐懼,-1
改派,-1
風波,-1
駭客,-1
動盪,-1
恐慌爆料縮短,-1
較少,-1
請辭,-1
賣超,-1
洗錢,-1
威脅,-1
受災,-1
暴增,-1
轉弱,-1
逝世,-1
壓抑,-1
反,-1
老化,-1
惡意,-1
拒絕,-1
賣掉,-1
貴,-1
軟,-1
開低,-1
銳減,-1
減資,-1
問題,-1
異常,-1
制裁,-1
壓力,-1
批評,-1
下修,-1
受害,-1
受損,-1
低估,-1
彌補,-1
戰爭,-1
檢調,-1
陰影,-1
撐,-1
通縮,-1
翻殺谷底,-1
調降,-1
走軟,-1
低調,-1
新低,-1
不休,-1
失望,-1
停工,-1
恐怖,-1
出清,-1
受傷,-1
股災,-1
滑落,-1
侵權,-1
軋空,-1
不良,-1
傷亡,-1
嚴峻,-1
徘徊,-1
熊市掉,-1
整頓,-1
併,-1
不足,-1
跌,-1
激烈,-1
破,-1
審慎,-1
削減,-1
撐盤,-1
貶幅,-1
缺口,-1
施壓,-1
退場,-1
錯誤,-1
了結,-1
減碼,-1
逃漏稅,-1
走跌,-1
承受,-1
淘汰,-1
高出,-1
震撼,-1
過去,-1
困境,-1
黑色,-1
