date,open,high,low,close,adj_close,djia_daily_return,volume
2013/1/2,13104.3,13412.71,13104.3,13412.55,13412.55,2.271,161430000
2013/1/3,13413.01,13430.6,13358.3,13391.36,13391.36,-0.158,129630000
2013/1/4,13391.05,13447.11,13376.23,13435.21,13435.21,0.327,107590000
2013/1/7,13436.13,13436.13,13343.32,13384.29,13384.29,-0.379,113120000
2013/1/8,13377.42,13377.42,13293.13,13328.85,13328.85,-0.414,129570000
2013/1/9,13329.92,13416.55,13329.08,13390.51,13390.51,0.463,123070000
2013/1/10,13391.82,13478.2,13382.29,13471.22,13471.22,0.603,133520000
2013/1/11,13471.45,13496.68,13439.97,13488.43,13488.43,0.128,119200000
2013/1/14,13488.43,13520.18,13459.84,13507.32,13507.32,0.140,118460000
2013/1/15,13507.32,13546.37,13445.8,13534.89,13534.89,0.204,102280000
2013/1/16,13534.89,13534.89,13468.96,13511.23,13511.23,-0.175,118540000
2013/1/17,13511.23,13633.89,13510.24,13596.02,13596.02,0.628,183900000
2013/1/18,13596.02,13649.93,13571.86,13649.7,13649.7,0.395,260900000
2013/1/22,13649.7,13712.21,13622.96,13712.21,13712.21,0.458,144300000
2013/1/23,13712.21,13794.29,13710.13,13779.33,13779.33,0.489,104490000
2013/1/24,13779.33,13879.66,13779.33,13825.33,13825.33,0.334,124780000
2013/1/25,13825.33,13895.98,13825.33,13895.98,13895.98,0.511,130300000
2013/1/28,13895.98,13915.72,13862.57,13881.93,13881.93,-0.101,113570000
2013/1/29,13881.93,13969.99,13880.01,13954.42,13954.42,0.522,108230000
2013/1/30,13954.42,13966.13,13896.95,13910.42,13910.42,-0.315,117200000
2013/1/31,13910.42,13941.06,13860.58,13860.58,13860.58,-0.358,142600000
2013/2/1,13860.58,14019.78,13860.58,14009.79,14009.79,1.077,128420000
2013/2/4,14009.79,14009.79,13866.83,13880.08,13880.08,-0.926,130420000
2013/2/5,13880.08,14013.6,13880.08,13979.3,13979.3,0.715,134390000
2013/2/6,13979.3,13991.61,13913.18,13986.52,13986.52,0.052,127560000
2013/2/7,13986.52,13988.06,13852.2,13944.05,13944.05,-0.304,118530000
2013/2/8,13944.05,14022.62,13944.05,13992.97,13992.97,0.351,99860000
2013/2/11,13992.97,13992.97,13940.41,13971.24,13971.24,-0.155,75090000
2013/2/12,13971.24,14038.97,13968.94,14018.7,14018.7,0.340,117180000
2013/2/13,14018.7,14029.35,13945.78,13982.91,13982.91,-0.255,130520000
2013/2/14,13982.91,13990.36,13921.94,13973.39,13973.39,-0.068,114800000
2013/2/15,13973.39,14001.93,13906.73,13981.76,13981.76,0.060,195670000
2013/2/19,13981.76,14044.82,13977.9,14035.67,14035.67,0.386,136410000
2013/2/20,14035.67,14058.27,13919.28,13927.54,13927.54,-0.770,138540000
2013/2/21,13927.54,13927.54,13834.4,13880.62,13880.62,-0.337,131410000
2013/2/22,13880.62,14001.19,13880.62,14000.57,14000.57,0.864,139850000
2013/2/25,14000.57,14081.58,13784.01,13784.17,13784.17,-1.546,152190000
2013/2/26,13784.17,13918.44,13784.17,13900.13,13900.13,0.841,132580000
2013/2/27,13900.13,14104.86,13880.19,14075.37,14075.37,1.261,107010000
2013/2/28,14075.37,14149.15,14050.18,14054.49,14054.49,-0.148,177150000
2013/3/1,14054.49,14107.09,13937.6,14089.66,14089.66,0.250,125920000
2013/3/4,14089.66,14128.21,14030.37,14127.82,14127.82,0.271,110810000
2013/3/5,14127.82,14286.37,14127.82,14253.77,14253.77,0.892,112100000
2013/3/6,14253.77,14320.65,14253,14296.24,14296.24,0.298,116510000
2013/3/7,14296.24,14354.69,14296.24,14329.49,14329.49,0.233,117080000
2013/3/8,14329.49,14413.17,14329.49,14397.07,14397.07,0.472,115630000
2013/3/11,14397.07,14448.06,14373.32,14447.29,14447.29,0.349,94880000
2013/3/12,14447.29,14478.8,14412.06,14450.06,14450.06,0.019,102100000
2013/3/13,14450.06,14472.8,14411.66,14455.28,14455.28,0.036,83920000
2013/3/14,14455.28,14539.29,14455.28,14539.14,14539.14,0.580,117390000
2013/3/15,14539.14,14539.14,14470.5,14514.11,14514.11,-0.172,407770000
2013/3/18,14514.11,14521.59,14404.21,14452.06,14452.06,-0.428,119640000
2013/3/19,14452.06,14514.34,14382.09,14455.82,14455.82,0.026,122170000
2013/3/20,14455.82,14546.82,14455.82,14511.73,14511.73,0.387,121240000
2013/3/21,14511.73,14511.73,14383.02,14421.49,14421.49,-0.622,110450000
2013/3/22,14421.49,14519.95,14421.49,14512.03,14512.03,0.628,101450000
2013/3/25,14512.03,14563.75,14395,14447.75,14447.75,-0.443,124840000
2013/3/26,14447.75,14561.54,14447.75,14559.65,14559.65,0.775,96030000
2013/3/27,14559.65,14559.65,14439.55,14526.16,14526.16,-0.230,92680000
2013/3/28,14526.16,14585.1,14520.86,14578.54,14578.54,0.361,153710000
2013/4/1,14578.54,14605.72,14531.48,14572.85,14572.85,-0.039,91400000
2013/4/2,14572.85,14684.49,14572.85,14662.01,14662.01,0.612,98420000
2013/4/3,14662.01,14683.13,14525.36,14550.35,14550.35,-0.762,127140000
2013/4/4,14550.35,14625.24,14538.72,14606.11,14606.11,0.383,104790000
2013/4/5,14606.11,14606.11,14434.43,14565.25,14565.25,-0.280,131250000
2013/4/8,14565.25,14613.48,14497.8,14613.48,14613.48,0.331,106680000
2013/4/9,14613.48,14716.46,14598.5,14673.46,14673.46,0.410,128580000
